Transaction_ID,Date,Department,Expense_Category,Region,Payment_Method,Revenue,Expense,Profit,Manager,Employees_Count,Country,Currency
1,2025-12-07,Operations,Maintenance,North,"Bank Transfer",62725,11294,51431,Karan,55,India,INR
2,2025-09-07,HR,Advertising,International,UPI,119057,78206,40851,Amit,53,US,USD
3,2025-05-22,HR,Maintenance,International,UPI,86299,42262,44037,Amit,53,US,USD
4,2025-06-01,Finance,Advertising,International,UPI,90377,46491,43886,Vikram,49,US,USD
5,2025-11-05,R&D,Supplies,International,"Bank Transfer",37552,10072,27480,Divya,55,US,USD
6,2025-08-25,Legal,Training,South,Card,60432,28991,31441,Shruti,38,India,INR
7,2025-07-21,Finance,Contractors,Online,"Bank Transfer",135626,20088,115538,Vikram,49,Online,Mixed
8,2025-01-25,Legal,Travel,Online,Card,50317,4694,45623,Shruti,38,Online,Mixed
9,2025-07-15,IT,Contractors,Online,UPI,124569,28587,95982,Neha,51,Online,Mixed
10,2025-12-07,Marketing,Contractors,West,Card,29765,12678,17087,Ravi,33,India,INR
11,2025-04-25,Operations,Utilities,Online,"Bank Transfer",137320,80212,57108,Karan,55,Online,Mixed
12,2025-03-15,Procurement,Maintenance,Corporate,Card,40098,3239,36859,Tara,45,India,INR
13,2025-04-17,Finance,Travel,South,UPI,29395,8348,21047,Vikram,49,India,INR
14,2025-06-24,HR,Supplies,North,Cash,22737,13494,9243,Amit,53,India,INR
15,2025-06-04,R&D,Software,West,Cash,27605,21374,6231,Divya,55,India,INR
16,2025-02-21,Sales,Utilities,West,UPI,117201,13897,103304,Sonia,12,India,INR
17,2025-03-24,Legal,Maintenance,East,Cash,39620,18838,20782,Shruti,38,India,INR
18,2025-07-16,Marketing,Advertising,West,"Bank Transfer",13555,2029,11526,Ravi,33,India,INR
19,2025-07-15,HR,Advertising,International,Card,24846,11392,13454,Amit,53,US,USD
20,2025-08-22,Finance,Advertising,South,"Bank Transfer",27596,10199,17397,Vikram,49,India,INR
21,2025-07-28,Marketing,Software,South,Cash,59608,19237,40371,Ravi,33,India,INR
22,2025-08-13,IT,Maintenance,International,UPI,102430,41965,60465,Neha,51,US,USD
23,2025-03-15,Procurement,Utilities,South,Cash,95763,71926,23837,Tara,45,India,INR
24,2025-12-24,Procurement,Advertising,International,Card,135316,103166,32150,Tara,45,US,USD
25,2025-08-27,R&D,Advertising,South,Card,26786,15382,11404,Divya,55,India,INR
26,2025-03-09,Procurement,Maintenance,International,UPI,104481,10907,93574,Tara,45,US,USD
27,2025-05-02,Procurement,Utilities,Online,"Bank Transfer",103748,54004,49744,Tara,45,Online,Mixed
28,2025-09-04,Operations,Supplies,North,"Bank Transfer",102544,57631,44913,Karan,55,India,INR
